Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Jumping,Long passing,Long shots,Penalties,Positioning,Short passing,Shot power,Sprint speed,Stamina,Vision,Volleys,Strength,Reactions,Overall,Potential,Wage,Value
P. Rojas,Colombia,Jaguares Fútbol Club,ST RM ,25,1602,90.0,40.0,83.0,85.0,58.0,54.0,62.0,39.0,63.0,66.0,29.0,43.0,75.0,48.0,55.0,56.0,64.0,55.0,65.0,92.0,78.0,54.0,45.0,57.0,59.0,65,67,1000.0,650000.0
Y. Meité,Ivory Coast,FC Sochaux-Montbéliard,RW ,21,1592,85.0,42.0,76.0,60.0,66.0,61.0,57.0,51.0,72.0,58.0,47.0,50.0,56.0,39.0,58.0,61.0,65.0,56.0,68.0,88.0,50.0,48.0,51.0,77.0,47.0,65,77,8000.0,975000.0
O. Bogle,England,Cardiff City,ST ,23,1575,72.0,47.0,63.0,55.0,61.0,57.0,39.0,54.0,64.0,66.0,48.0,63.0,63.0,38.0,63.0,60.0,65.0,58.0,63.0,70.0,64.0,53.0,58.0,73.0,56.0,65,72,8000.0,775000.0
T. Kanamori,Japan,Kashima Antlers,LW LM ST ,23,1660,90.0,59.0,88.0,79.0,69.0,60.0,55.0,51.0,72.0,60.0,40.0,59.0,68.0,46.0,49.0,63.0,63.0,66.0,65.0,90.0,73.0,48.0,57.0,61.0,57.0,65,73,4000.0,800000.0
E. Chirambadare,Zimbabwe,Kaizer Chiefs,RW RM LW LM ,25,1515,75.0,31.0,60.0,71.0,71.0,58.0,64.0,61.0,72.0,55.0,42.0,38.0,41.0,50.0,48.0,56.0,55.0,59.0,55.0,77.0,61.0,65.0,42.0,58.0,45.0,65,68,1000.0,675000.0
O. Gaona Lugo,Paraguay,Bahía Blanca,ST LM RW ,26,1659,90.0,45.0,76.0,75.0,66.0,32.0,64.0,52.0,67.0,62.0,50.0,56.0,54.0,61.0,60.0,67.0,52.0,57.0,63.0,87.0,64.0,52.0,55.0,63.0,60.0,65,65,4000.0,575000.0
I. Toney,England,Wigan Athletic,ST ,21,1668,77.0,75.0,87.0,59.0,59.0,48.0,42.0,41.0,61.0,67.0,38.0,66.0,87.0,39.0,43.0,58.0,64.0,56.0,63.0,78.0,74.0,41.0,59.0,72.0,58.0,65,77,14000.0,975000.0
Carles Pérez,Spain,FC Barcelona B,LW RW ,19,1659,81.0,38.0,72.0,73.0,65.0,57.0,63.0,60.0,67.0,68.0,54.0,53.0,59.0,58.0,69.0,57.0,58.0,62.0,82.0,79.0,55.0,61.0,58.0,57.0,47.0,65,78,2000.0,1000000.0
F. Lohkemper,Germany,1. FC Magdeburg,ST ,22,1611,78.0,41.0,69.0,71.0,63.0,56.0,50.0,57.0,68.0,59.0,40.0,58.0,77.0,39.0,49.0,58.0,65.0,60.0,66.0,86.0,67.0,49.0,60.0,66.0,62.0,65,72,1000.0,775000.0
C. Andriamahitsinoro,Madagascar,Ohod Club,ST RM ,27,1585,91.0,61.0,72.0,75.0,61.0,54.0,60.0,63.0,66.0,58.0,55.0,39.0,48.0,52.0,47.0,48.0,56.0,57.0,58.0,83.0,74.0,56.0,62.0,48.0,57.0,65,65,6000.0,575000.0
F. Nouble,England,Newport County,LM ST ,25,1581,77.0,56.0,63.0,46.0,61.0,55.0,61.0,54.0,66.0,63.0,51.0,60.0,54.0,40.0,57.0,45.0,61.0,45.0,72.0,79.0,64.0,62.0,65.0,86.0,57.0,65,68,4000.0,700000.0
S. Clémence,France,Tours FC,ST ,29,1571,67.0,48.0,62.0,58.0,65.0,54.0,63.0,41.0,62.0,62.0,33.0,68.0,74.0,60.0,59.0,65.0,66.0,65.0,58.0,72.0,67.0,50.0,60.0,71.0,56.0,65,65,3000.0,550000.0
L. Leahy,England,Walsall,LM LB LWB ,24,1804,76.0,63.0,77.0,76.0,60.0,60.0,62.0,60.0,58.0,54.0,33.0,62.0,76.0,60.0,64.0,37.0,59.0,65.0,69.0,81.0,80.0,58.0,66.0,56.0,57.0,65,70,3000.0,600000.0
C. Fagan,Republic of Ireland,St. Patrick's Athletic,ST ,28,1623,72.0,56.0,77.0,72.0,64.0,55.0,34.0,52.0,59.0,66.0,53.0,67.0,68.0,52.0,57.0,67.0,64.0,63.0,63.0,69.0,72.0,57.0,56.0,75.0,51.0,65,65,1000.0,550000.0
C. Kammlott,Germany,Rot-Weiß Erfurt,LW ST ,27,1547,83.0,31.0,70.0,69.0,68.0,63.0,31.0,55.0,70.0,68.0,35.0,54.0,63.0,42.0,62.0,60.0,55.0,62.0,68.0,78.0,64.0,57.0,63.0,60.0,50.0,65,65,1000.0,575000.0
D. Mendoza,Argentina,Club Atlético Huracán,ST ,24,1554,61.0,30.0,62.0,53.0,63.0,65.0,41.0,52.0,63.0,67.0,35.0,63.0,63.0,55.0,63.0,60.0,62.0,62.0,63.0,71.0,67.0,55.0,47.0,72.0,57.0,65,72,4000.0,775000.0
R. Hayasaka,Japan,Hokkaido Consadole Sapporo,CAM ST RM ,31,1619,60.0,43.0,67.0,58.0,67.0,57.0,68.0,63.0,69.0,61.0,57.0,33.0,83.0,60.0,61.0,51.0,59.0,69.0,59.0,62.0,58.0,55.0,45.0,73.0,64.0,65,65,2000.0,475000.0
N. Dumitru,Italy,AD Alcorcón,ST LW ,25,1618,75.0,49.0,71.0,58.0,64.0,62.0,57.0,50.0,61.0,63.0,39.0,58.0,71.0,40.0,58.0,53.0,65.0,64.0,63.0,89.0,68.0,54.0,63.0,65.0,64.0,65,65,4000.0,600000.0
D. Vrzogic,Germany,SV Meppen,LM LWB LB ,27,1727,74.0,55.0,72.0,71.0,63.0,64.0,63.0,58.0,65.0,39.0,50.0,60.0,63.0,61.0,47.0,46.0,45.0,65.0,58.0,75.0,65.0,55.0,63.0,57.0,65.0,65,65,1000.0,450000.0
A. Rodríguez,Colombia,Atletico Nacional Medellin,RW ST ,24,1688,83.0,64.0,83.0,70.0,61.0,52.0,74.0,39.0,64.0,68.0,34.0,56.0,66.0,54.0,68.0,59.0,59.0,67.0,65.0,86.0,71.0,58.0,45.0,56.0,54.0,65,72,2000.0,775000.0
S. Mauk,Australia,Melbourne City,RW CAM ,21,1749,69.0,47.0,71.0,79.0,65.0,64.0,60.0,59.0,65.0,64.0,46.0,55.0,60.0,64.0,55.0,44.0,65.0,65.0,62.0,71.0,72.0,63.0,56.0,67.0,61.0,65,73,3000.0,800000.0
José Kanté,Guinea,Wisła Płock,ST ,26,1626,67.0,32.0,76.0,76.0,71.0,63.0,53.0,61.0,68.0,64.0,34.0,62.0,76.0,60.0,58.0,66.0,68.0,61.0,62.0,65.0,73.0,64.0,51.0,60.0,64.0,65,66,3000.0,650000.0
M. Richards,England,Northampton Town,ST ,34,1620,61.0,54.0,62.0,64.0,60.0,65.0,42.0,62.0,60.0,64.0,60.0,65.0,74.0,42.0,55.0,71.0,69.0,59.0,73.0,52.0,68.0,60.0,61.0,82.0,58.0,65,65,3000.0,280000.0
M. Sansores,Mexico,Monarcas Morelia,ST ,26,1597,71.0,41.0,70.0,68.0,61.0,54.0,45.0,45.0,60.0,64.0,48.0,66.0,77.0,42.0,52.0,57.0,65.0,57.0,65.0,73.0,65.0,50.0,52.0,58.0,67.0,65,66,4000.0,650000.0
B. Inman,Australia,Rochdale,LW LM ,25,1644,78.0,19.0,75.0,73.0,66.0,49.0,59.0,51.0,65.0,65.0,58.0,40.0,54.0,62.0,53.0,57.0,59.0,64.0,55.0,78.0,62.0,48.0,49.0,62.0,65.0,65,67,3000.0,650000.0
S. Sawadogo,Burkina Faso,La Berrichonne de Châteauroux,ST LW RW ,24,1492,90.0,27.0,90.0,87.0,67.0,63.0,50.0,46.0,72.0,64.0,33.0,53.0,70.0,31.0,50.0,67.0,63.0,46.0,60.0,89.0,29.0,57.0,49.0,33.0,56.0,65,68,2000.0,675000.0
M. Madri,France,RC Lens,RM LM CAM ST ,27,1623,76.0,36.0,82.0,73.0,67.0,65.0,62.0,62.0,68.0,64.0,43.0,49.0,73.0,57.0,57.0,57.0,67.0,65.0,62.0,74.0,71.0,66.0,59.0,57.0,66.0,65,65,3000.0,575000.0
A. Kamara,Sierra Leone,Al Taawoun,ST ,23,1583,79.0,80.0,63.0,64.0,59.0,58.0,39.0,51.0,58.0,60.0,25.0,61.0,74.0,40.0,52.0,60.0,63.0,52.0,74.0,75.0,64.0,45.0,66.0,78.0,64.0,65,71,6000.0,750000.0
C. Cato,Trinidad & Tobago,San Jose Earthquakes,RM RWB RB ,24,1786,89.0,57.0,80.0,73.0,58.0,63.0,53.0,67.0,71.0,59.0,36.0,47.0,61.0,52.0,52.0,58.0,57.0,62.0,62.0,92.0,69.0,56.0,60.0,55.0,66.0,65,68,2000.0,575000.0
D. Mangni,Italy,Atalanta,ST ,24,1555,75.0,29.0,79.0,79.0,68.0,59.0,35.0,45.0,66.0,65.0,36.0,61.0,82.0,43.0,53.0,64.0,59.0,54.0,61.0,87.0,72.0,49.0,57.0,72.0,55.0,65,71,7000.0,750000.0
A. Nabbout,Australia,Newcastle Jets,LW LM ,24,1666,79.0,57.0,72.0,79.0,62.0,61.0,59.0,59.0,64.0,67.0,45.0,59.0,62.0,53.0,62.0,52.0,65.0,55.0,62.0,78.0,73.0,62.0,49.0,80.0,59.0,65,71,1000.0,750000.0
C. Sammon,Republic of Ireland,Partick Thistle F.C.,RM ST ,30,1720,70.0,78.0,66.0,75.0,59.0,61.0,46.0,48.0,56.0,61.0,35.0,67.0,90.0,41.0,56.0,59.0,65.0,53.0,72.0,72.0,84.0,65.0,56.0,86.0,64.0,65,65,3000.0,525000.0
J. Amoroso,Argentina,Newell's Old Boys,ST LM RM ,29,1621,70.0,40.0,64.0,53.0,58.0,64.0,53.0,58.0,66.0,60.0,47.0,58.0,61.0,58.0,60.0,44.0,71.0,59.0,68.0,74.0,69.0,65.0,42.0,74.0,69.0,65,65,5000.0,525000.0
Ruca,Portugal,Tondela,LW LB ,26,1835,64.0,76.0,57.0,48.0,68.0,60.0,73.0,74.0,64.0,55.0,71.0,62.0,34.0,67.0,69.0,67.0,66.0,68.0,80.0,54.0,49.0,59.0,51.0,82.0,69.0,65,66,2000.0,525000.0
S. Silva,Sweden,Palermo,ST ,27,1661,75.0,33.0,82.0,69.0,66.0,66.0,62.0,64.0,68.0,67.0,62.0,54.0,52.0,46.0,64.0,57.0,65.0,63.0,59.0,67.0,70.0,67.0,66.0,60.0,63.0,65,66,2000.0,625000.0
M. Exslager,Germany,SC Fortuna Köln,LW RW ST ,26,1692,73.0,74.0,72.0,75.0,59.0,63.0,61.0,53.0,62.0,66.0,44.0,63.0,82.0,39.0,58.0,58.0,62.0,57.0,71.0,65.0,55.0,49.0,59.0,79.0,60.0,65,66,1000.0,650000.0
V. Osimhen,Nigeria,VfL Wolfsburg,ST ,18,1552,74.0,43.0,68.0,68.0,60.0,55.0,41.0,59.0,62.0,67.0,39.0,64.0,75.0,29.0,55.0,65.0,61.0,54.0,65.0,76.0,59.0,49.0,63.0,66.0,58.0,65,83,10000.0,1100000.0
D. McMillan,Republic of Ireland,Dundalk,ST ,28,1570,69.0,59.0,69.0,62.0,63.0,56.0,40.0,53.0,57.0,67.0,41.0,67.0,73.0,40.0,54.0,68.0,62.0,58.0,62.0,69.0,62.0,55.0,58.0,67.0,62.0,65,65,1000.0,550000.0
G. De Feo,Italy,Ascoli,ST RW ,23,1591,83.0,55.0,84.0,84.0,71.0,63.0,52.0,61.0,66.0,61.0,42.0,32.0,37.0,55.0,42.0,55.0,63.0,58.0,61.0,75.0,73.0,60.0,71.0,50.0,67.0,65,68,1000.0,675000.0
R. Bayard,France,Tours FC,ST CAM LW RW ,23,1701,77.0,64.0,76.0,68.0,64.0,60.0,58.0,45.0,68.0,61.0,71.0,65.0,65.0,61.0,58.0,62.0,59.0,66.0,56.0,78.0,73.0,55.0,57.0,71.0,65.0,65,71,2000.0,750000.0
L. Röser,Germany,SG Dynamo Dresden,ST ,23,1547,68.0,39.0,69.0,69.0,63.0,59.0,40.0,57.0,61.0,68.0,31.0,56.0,72.0,39.0,64.0,64.0,58.0,67.0,62.0,74.0,68.0,48.0,59.0,73.0,61.0,65,71,4000.0,750000.0
D. Jiménez,Mexico,Lobos de la BUAP,ST RM RW ,28,1685,68.0,63.0,66.0,75.0,67.0,55.0,60.0,58.0,67.0,66.0,55.0,59.0,61.0,57.0,64.0,58.0,68.0,65.0,66.0,74.0,67.0,39.0,60.0,66.0,69.0,65,65,3000.0,550000.0
L. Esqueda,Mexico,Querétaro,LWB LB ,36,1743,69.0,66.0,66.0,67.0,64.0,62.0,65.0,43.0,64.0,44.0,45.0,51.0,75.0,63.0,58.0,46.0,59.0,66.0,66.0,63.0,65.0,59.0,50.0,63.0,57.0,65,65,2000.0,60000.0
M. Finotto,Italy,Ternana,ST ,24,1580,85.0,33.0,62.0,66.0,60.0,65.0,53.0,45.0,60.0,61.0,48.0,62.0,59.0,37.0,53.0,66.0,69.0,58.0,57.0,75.0,76.0,62.0,64.0,64.0,68.0,65,69,4000.0,725000.0
Sim Sang Min,Korea Republic,FC Seoul,LWB LM ,24,1708,72.0,65.0,71.0,71.0,65.0,60.0,64.0,50.0,67.0,50.0,39.0,37.0,68.0,57.0,47.0,39.0,67.0,64.0,43.0,70.0,72.0,55.0,30.0,63.0,66.0,65,71,2000.0,750000.0
M. Rojas,Paraguay,Club Atlético Lanús,LW ,21,1513,77.0,26.0,73.0,60.0,62.0,48.0,62.0,57.0,71.0,65.0,56.0,37.0,44.0,53.0,57.0,45.0,54.0,58.0,63.0,82.0,71.0,63.0,44.0,41.0,60.0,65,77,4000.0,975000.0
E. Bajrami,Sweden,IF Elfsborg,ST LM RM ,29,1685,72.0,50.0,79.0,76.0,72.0,61.0,65.0,67.0,68.0,62.0,62.0,42.0,71.0,56.0,61.0,44.0,61.0,62.0,64.0,75.0,48.0,60.0,60.0,67.0,58.0,65,65,2000.0,525000.0
T. Elliott,England,Millwall,ST ,26,1597,77.0,65.0,74.0,71.0,70.0,57.0,39.0,31.0,54.0,64.0,48.0,72.0,78.0,26.0,43.0,57.0,61.0,44.0,59.0,78.0,69.0,46.0,58.0,88.0,60.0,65,68,11000.0,675000.0
R. Salinas,Argentina,Ettifaq FC,ST ,31,1500,47.0,61.0,50.0,55.0,62.0,50.0,36.0,39.0,61.0,68.0,28.0,68.0,69.0,32.0,56.0,66.0,63.0,53.0,69.0,55.0,60.0,49.0,63.0,73.0,65.0,65,65,5000.0,475000.0
S. Benyamina,Germany,Hansa Rostock,ST ,27,1486,59.0,58.0,60.0,58.0,67.0,57.0,34.0,41.0,59.0,58.0,31.0,73.0,73.0,33.0,58.0,56.0,66.0,54.0,62.0,66.0,54.0,38.0,55.0,79.0,63.0,65,65,1000.0,575000.0
Evandro,Brazil,Daegu FC,ST ,29,1602,74.0,53.0,69.0,69.0,62.0,60.0,45.0,54.0,68.0,65.0,49.0,64.0,75.0,38.0,52.0,65.0,60.0,53.0,69.0,76.0,68.0,55.0,53.0,70.0,63.0,65,65,2000.0,550000.0
P. Taylor,England,Bradford City,ST CAM ,29,1630,77.0,50.0,72.0,88.0,69.0,60.0,53.0,55.0,72.0,58.0,58.0,56.0,31.0,44.0,55.0,63.0,64.0,55.0,64.0,80.0,71.0,63.0,63.0,58.0,68.0,65,65,4000.0,525000.0
C. Curran,England,Ross County FC,ST ,27,1664,83.0,58.0,62.0,71.0,66.0,54.0,48.0,51.0,62.0,67.0,41.0,64.0,82.0,62.0,53.0,62.0,57.0,64.0,65.0,74.0,65.0,59.0,43.0,74.0,54.0,65,65,3000.0,575000.0
N. Di Roberto,Italy,Salernitana,LW RW ,31,1631,72.0,52.0,73.0,63.0,65.0,65.0,65.0,61.0,67.0,61.0,60.0,45.0,50.0,40.0,69.0,64.0,70.0,59.0,63.0,69.0,70.0,57.0,61.0,51.0,62.0,65,65,2000.0,475000.0
A. Iunco,Italy,Cittadella,RW ST ,33,1683,76.0,53.0,81.0,85.0,71.0,61.0,66.0,72.0,70.0,61.0,64.0,50.0,31.0,62.0,61.0,62.0,63.0,66.0,67.0,74.0,63.0,62.0,70.0,66.0,61.0,65,65,1000.0,350000.0
L. Pérez,Italy,Ascoli,ST ,27,1641,72.0,42.0,71.0,66.0,60.0,60.0,56.0,53.0,61.0,66.0,57.0,57.0,71.0,47.0,58.0,67.0,66.0,57.0,70.0,70.0,73.0,58.0,57.0,62.0,64.0,65,66,2000.0,625000.0
Davidson,Brazil,Grupo Desportivo de Chaves,LW ,26,1692,72.0,40.0,77.0,73.0,70.0,63.0,57.0,70.0,70.0,52.0,66.0,45.0,66.0,58.0,53.0,58.0,58.0,68.0,64.0,75.0,66.0,62.0,58.0,58.0,68.0,65,65,3000.0,575000.0
A. Corzo,Peru,,RWB RB ,28,1579,69.0,53.0,72.0,73.0,62.0,40.0,65.0,46.0,53.0,18.0,50.0,51.0,43.0,53.0,49.0,43.0,39.0,59.0,59.0,69.0,67.0,28.0,31.0,55.0,57.0,65,65,0.0,0.0
H. Savran,Germany,VfL Osnabrück,ST ,32,1691,71.0,72.0,73.0,77.0,62.0,67.0,51.0,47.0,65.0,66.0,54.0,56.0,80.0,50.0,55.0,67.0,68.0,58.0,66.0,71.0,76.0,55.0,57.0,74.0,62.0,65,65,1000.0,425000.0
A. Rossi,Italy,Salernitana,ST ,20,1496,69.0,43.0,51.0,46.0,66.0,55.0,52.0,49.0,62.0,66.0,50.0,62.0,39.0,46.0,60.0,53.0,66.0,60.0,70.0,42.0,48.0,48.0,64.0,73.0,62.0,65,79,10000.0,1200000.0
J. Aguilar,Panama,Estoril Praia,LW ,22,1675,75.0,44.0,76.0,66.0,70.0,55.0,59.0,67.0,67.0,64.0,64.0,60.0,73.0,39.0,63.0,67.0,59.0,57.0,70.0,72.0,64.0,58.0,65.0,66.0,70.0,65,71,3000.0,750000.0
J. Grant,Jamaica,Plymouth Argyle,ST LM RM ,29,1655,84.0,43.0,83.0,80.0,62.0,63.0,60.0,58.0,67.0,60.0,58.0,48.0,53.0,57.0,51.0,58.0,63.0,59.0,60.0,88.0,64.0,61.0,47.0,65.0,53.0,65,65,4000.0,525000.0
A. Esaka,Japan,Omiya Ardija,RW LM CF ST ,25,1587,65.0,34.0,61.0,70.0,61.0,57.0,55.0,60.0,65.0,69.0,38.0,66.0,77.0,54.0,57.0,48.0,63.0,62.0,64.0,68.0,68.0,55.0,54.0,61.0,61.0,65,68,2000.0,700000.0
F. Costa,Italy,Ferrara (SPAL),LWB LM ,22,1617,75.0,55.0,62.0,62.0,67.0,63.0,71.0,62.0,61.0,20.0,37.0,56.0,44.0,63.0,34.0,48.0,61.0,68.0,34.0,71.0,71.0,60.0,30.0,59.0,66.0,65,71,4000.0,750000.0
Zizo,Egypt,Moreirense FC,LW RW CM ,21,1639,64.0,48.0,72.0,78.0,69.0,54.0,42.0,53.0,68.0,45.0,47.0,39.0,51.0,65.0,56.0,54.0,62.0,68.0,39.0,65.0,61.0,66.0,61.0,48.0,59.0,65,74,2000.0,825000.0
F. Acosta,Uruguay,Villarreal CF,ST ,21,1577,73.0,31.0,65.0,71.0,71.0,59.0,53.0,61.0,63.0,66.0,46.0,58.0,68.0,38.0,54.0,66.0,75.0,64.0,50.0,67.0,38.0,58.0,56.0,40.0,68.0,65,75,7000.0,875000.0
D. Avdić,Sweden,AIK Solna,CM ST ,28,1609,51.0,57.0,56.0,38.0,65.0,62.0,42.0,57.0,59.0,64.0,53.0,66.0,77.0,51.0,65.0,66.0,65.0,64.0,67.0,45.0,58.0,47.0,64.0,89.0,63.0,65,65,4000.0,550000.0
R. O'Donovan,Republic of Ireland,Newcastle Jets,ST ,31,1667,84.0,81.0,83.0,90.0,58.0,68.0,51.0,52.0,62.0,66.0,35.0,59.0,82.0,45.0,60.0,61.0,64.0,56.0,63.0,76.0,66.0,57.0,66.0,57.0,65.0,65,65,2000.0,475000.0
C. Ezeh,Nigeria,Portimonense SC,RW ,19,1519,77.0,31.0,53.0,61.0,78.0,57.0,69.0,47.0,76.0,34.0,38.0,42.0,38.0,67.0,48.0,65.0,62.0,69.0,67.0,75.0,51.0,56.0,42.0,48.0,56.0,65,73,2000.0,775000.0
N. Dibble,Uruguay,Gimnasia y Esgrima La Plata,ST ,20,1585,69.0,36.0,73.0,74.0,57.0,53.0,34.0,48.0,63.0,68.0,43.0,62.0,69.0,67.0,62.0,71.0,68.0,71.0,63.0,68.0,67.0,63.0,50.0,45.0,65.0,65,75,4000.0,875000.0
J. Orlov,Sweden,SK Brann,ST ,31,1607,54.0,61.0,65.0,57.0,61.0,70.0,40.0,41.0,59.0,63.0,45.0,66.0,75.0,54.0,53.0,60.0,69.0,63.0,65.0,69.0,72.0,65.0,54.0,73.0,69.0,65,65,2000.0,475000.0
H. Bjørdal,Norway,Brighton & Hove Albion,ST LM RM ,20,1742,69.0,58.0,67.0,70.0,67.0,61.0,57.0,58.0,67.0,57.0,43.0,54.0,71.0,64.0,59.0,48.0,59.0,67.0,60.0,67.0,67.0,66.0,53.0,65.0,59.0,65,75,10000.0,875000.0
S. Maierhofer,Austria,SV Mattersburg,ST ,34,1562,33.0,88.0,32.0,30.0,43.0,65.0,43.0,46.0,45.0,68.0,55.0,84.0,34.0,34.0,63.0,65.0,76.0,44.0,78.0,34.0,70.0,33.0,62.0,93.0,70.0,65,65,7000.0,280000.0
B. Lennon,United States,Real Salt Lake,CF LW RW ,19,1652,71.0,53.0,59.0,71.0,64.0,61.0,70.0,69.0,65.0,61.0,44.0,60.0,70.0,47.0,60.0,68.0,66.0,58.0,69.0,76.0,76.0,66.0,48.0,59.0,60.0,65,77,15000.0,950000.0
P. Sohm,Germany,SG Sonnenhof Großaspach,ST RW ,25,1611,75.0,48.0,73.0,61.0,64.0,68.0,64.0,66.0,63.0,58.0,37.0,35.0,54.0,54.0,53.0,54.0,67.0,60.0,72.0,77.0,90.0,60.0,47.0,75.0,68.0,65,68,1000.0,675000.0
B. Figueroa,Mexico,U.N.A.M.,ST LM ,18,1516,72.0,31.0,63.0,63.0,62.0,58.0,66.0,46.0,68.0,65.0,34.0,63.0,66.0,61.0,52.0,55.0,63.0,66.0,58.0,67.0,56.0,55.0,40.0,66.0,57.0,65,73,4000.0,725000.0
J. Gyamerah,Germany,VfL Bochum,RW RM CB RB ,22,1627,72.0,53.0,73.0,68.0,64.0,64.0,65.0,44.0,57.0,24.0,34.0,52.0,62.0,62.0,57.0,42.0,49.0,63.0,41.0,71.0,63.0,42.0,26.0,66.0,62.0,65,75,4000.0,750000.0
L. Blessing,Ghana,Sporting Kansas City,ST LW ,20,1703,86.0,62.0,89.0,85.0,62.0,60.0,40.0,43.0,72.0,60.0,56.0,51.0,67.0,44.0,58.0,60.0,63.0,60.0,69.0,83.0,78.0,65.0,62.0,39.0,64.0,65,71,2000.0,750000.0
F. Doré,Congo,Clermont Foot 63,ST ,28,1544,69.0,36.0,65.0,45.0,63.0,59.0,51.0,45.0,62.0,65.0,47.0,65.0,72.0,55.0,60.0,54.0,59.0,61.0,64.0,76.0,65.0,46.0,60.0,82.0,55.0,65,65,8000.0,550000.0
J. Müller,Germany,SpVgg Unterhaching,CAM ST RM ,27,1681,78.0,49.0,70.0,72.0,62.0,61.0,65.0,68.0,67.0,55.0,42.0,49.0,66.0,55.0,61.0,53.0,58.0,62.0,66.0,82.0,82.0,51.0,58.0,62.0,56.0,65,65,1000.0,575000.0
L. Strizzolo,Italy,Cittadella,ST ,25,1397,65.0,35.0,60.0,58.0,59.0,60.0,30.0,35.0,52.0,69.0,30.0,68.0,64.0,33.0,62.0,50.0,69.0,50.0,67.0,63.0,56.0,42.0,50.0,73.0,54.0,65,68,1000.0,700000.0
T. Röttger,Germany,SG Sonnenhof Großaspach,LW RW ST ,31,1709,76.0,74.0,80.0,80.0,66.0,67.0,60.0,61.0,65.0,62.0,39.0,57.0,69.0,34.0,63.0,42.0,66.0,55.0,70.0,77.0,84.0,51.0,61.0,61.0,63.0,65,65,1000.0,475000.0
P. Müller,Germany,SV Wehen Wiesbaden,LM RW RM ,22,1575,82.0,29.0,80.0,77.0,65.0,53.0,63.0,55.0,66.0,60.0,44.0,45.0,64.0,53.0,53.0,63.0,57.0,60.0,60.0,79.0,60.0,58.0,51.0,50.0,56.0,65,74,1000.0,825000.0
J. Cox,Panama,Envigado FC,ST ,23,1397,42.0,28.0,47.0,54.0,63.0,48.0,33.0,36.0,46.0,66.0,27.0,74.0,69.0,25.0,64.0,71.0,71.0,44.0,72.0,58.0,56.0,38.0,56.0,87.0,54.0,65,73,1000.0,800000.0
B. Szeliga,Poland,Termalica Bruk-Bet Nieciecza,RB RM ST ,24,1772,84.0,61.0,72.0,73.0,67.0,54.0,63.0,49.0,65.0,63.0,42.0,47.0,67.0,57.0,64.0,50.0,64.0,59.0,58.0,85.0,76.0,53.0,61.0,75.0,49.0,64,68,2000.0,600000.0
T. Steinherr,Germany,SpVgg Unterhaching,ST LM ,24,1567,82.0,40.0,94.0,91.0,64.0,63.0,57.0,50.0,66.0,53.0,42.0,42.0,59.0,48.0,50.0,52.0,53.0,60.0,49.0,77.0,74.0,59.0,42.0,29.0,57.0,64,69,1000.0,600000.0
I. Abdulavov,Russia,FC Ufa,ST ,23,1552,76.0,52.0,62.0,63.0,64.0,54.0,36.0,46.0,64.0,63.0,33.0,68.0,75.0,38.0,56.0,63.0,57.0,49.0,73.0,75.0,63.0,49.0,53.0,77.0,48.0,64,72,7000.0,675000.0
Dalmau,Spain,Villarreal CF,ST ,23,1407,70.0,30.0,64.0,66.0,62.0,54.0,30.0,33.0,63.0,68.0,31.0,66.0,62.0,26.0,56.0,70.0,70.0,57.0,58.0,63.0,45.0,53.0,55.0,47.0,53.0,64,69,8000.0,625000.0
Weslley,Brazil,Incheon United FC,LW ST ,25,1778,88.0,69.0,83.0,62.0,63.0,60.0,57.0,54.0,65.0,60.0,55.0,59.0,90.0,57.0,57.0,60.0,59.0,57.0,57.0,89.0,63.0,66.0,64.0,71.0,63.0,64,67,2000.0,575000.0
F. Anselmo,Argentina,Argentinos Juniors,ST ,23,1438,54.0,35.0,59.0,52.0,63.0,56.0,38.0,40.0,56.0,68.0,27.0,68.0,73.0,36.0,57.0,62.0,70.0,52.0,66.0,53.0,55.0,45.0,54.0,75.0,52.0,64,71,4000.0,650000.0
A. Barcham,England,AFC Wimbledon,LW LM ,30,1631,79.0,44.0,79.0,85.0,61.0,50.0,60.0,60.0,63.0,56.0,38.0,41.0,67.0,55.0,52.0,54.0,62.0,60.0,56.0,82.0,70.0,56.0,41.0,57.0,60.0,64,64,3000.0,425000.0
S. Romero,Colombia,Atlético Bucaramanga,ST ,28,1631,79.0,38.0,67.0,64.0,70.0,55.0,70.0,69.0,69.0,64.0,57.0,63.0,54.0,58.0,53.0,80.0,60.0,65.0,61.0,67.0,69.0,60.0,57.0,40.0,64.0,64,64,1000.0,475000.0
A. Čulina,Croatia,FC Lugano,RW ,25,1581,74.0,51.0,62.0,59.0,68.0,61.0,57.0,57.0,68.0,68.0,49.0,35.0,52.0,51.0,66.0,56.0,53.0,57.0,64.0,74.0,71.0,53.0,50.0,63.0,61.0,64,67,3000.0,575000.0
C. Akpom,England,Arsenal,ST ,21,1558,86.0,39.0,76.0,63.0,60.0,52.0,48.0,42.0,63.0,61.0,37.0,63.0,62.0,45.0,52.0,62.0,62.0,62.0,56.0,84.0,56.0,52.0,47.0,75.0,55.0,64,75,20000.0,775000.0
