Name,Nationality,Club,Preferred Positions,Age,Special,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Overall,Potential,Value,Wage
D. Petković,Montenegro,FC Lorient,GK ,24,896,68.0,65.0,62.0,65.0,67.0,65,70,525000.0,2000.0
J. Coppens,Belgium,FC Carl Zeiss Jena,GK ,26,1109,68.0,63.0,66.0,58.0,69.0,65,67,450000.0,1000.0
C. Källqvist,Sweden,BK Häcken,GK ,33,1017,55.0,70.0,72.0,69.0,59.0,65,65,270000.0,1000.0
M. Al Furayj,Saudi Arabia,Al Fayha,GK ,29,1099,66.0,60.0,58.0,64.0,67.0,64,64,300000.0,5000.0
T. Naurin,Sweden,GIF Sundsvall,GK ,33,1014,65.0,64.0,67.0,64.0,62.0,64,64,230000.0,1000.0
D. Davari,Iran,MSV Duisburg,GK ,29,952,67.0,53.0,69.0,64.0,67.0,64,64,300000.0,2000.0
C. Acevedo,Mexico,Santos Laguna,GK ,21,905,64.0,63.0,64.0,63.0,64.0,64,69,450000.0,3000.0
M. Sandberg,Sweden,Vålerenga Fotball,GK ,26,1042,65.0,60.0,58.0,63.0,67.0,64,68,400000.0,1000.0
Q. Beunardeau,France,FC Metz,GK ,23,1143,63.0,61.0,58.0,58.0,71.0,64,69,425000.0,3000.0
W. Vendil,Chile,Curicó Unido,GK ,33,1034,59.0,47.0,66.0,72.0,74.0,64,64,230000.0,1000.0
I. Jónsson,Iceland,Sandefjord Fotball,GK ,27,1088,64.0,61.0,58.0,63.0,64.0,64,66,375000.0,1000.0
Andrés Prieto,Spain,Málaga CF,GK ,23,1053,61.0,65.0,62.0,67.0,61.0,64,74,550000.0,4000.0
O. Özenç,Turkey,Antalyaspor,GK ,24,1053,62.0,63.0,62.0,65.0,66.0,64,69,425000.0,3000.0
M. Oparin,Russia,FC Tosno,GK ,24,875,60.0,64.0,57.0,66.0,69.0,64,71,475000.0,4000.0
Lee Bum Young,Korea Republic,Gangwon FC,GK ,28,1059,62.0,64.0,63.0,65.0,63.0,64,64,325000.0,2000.0
L. Zidane,France,Real Madrid CF,GK ,19,959,66.0,64.0,62.0,63.0,62.0,64,73,500000.0,10000.0
L. Fernandes,Denmark,SønderjyskE,GK ,24,1099,66.0,61.0,62.0,66.0,60.0,64,71,475000.0,3000.0
L. Vigouroux,Chile,Swindon Town,GK ,23,1063,66.0,60.0,62.0,60.0,69.0,64,72,500000.0,3000.0
A. Nübel,Germany,FC Schalke 04,GK ,20,1091,64.0,58.0,63.0,61.0,68.0,64,78,825000.0,5000.0
Edu Frias,Spain,RCD Espanyol,GK ,18,896,64.0,66.0,61.0,62.0,66.0,64,78,750000.0,2000.0
B. Murphy,Republic of Ireland,Cardiff City,GK ,34,1004,65.0,59.0,56.0,65.0,67.0,64,64,180000.0,6000.0
P. Izzo,Australia,Adelaide United,GK ,22,1090,66.0,60.0,64.0,63.0,68.0,64,70,450000.0,1000.0
S. D'Angelo,Argentina,Newell's Old Boys,GK ,28,969,63.0,61.0,76.0,64.0,65.0,64,65,375000.0,4000.0
J. Mitchell,England,Derby County,GK ,22,1254,63.0,62.0,63.0,63.0,65.0,64,75,600000.0,9000.0
A. Kofler,Austria,Wolfsberger AC,GK ,30,1049,64.0,68.0,57.0,67.0,60.0,64,64,290000.0,3000.0
A. Mandrea,France,Angers SCO,GK ,20,1054,68.0,56.0,58.0,60.0,72.0,64,71,475000.0,4000.0
C. Diop,Senegal,LA Galaxy,GK ,23,970,69.0,58.0,63.0,57.0,72.0,64,70,450000.0,2000.0
M. Gillespie,England,Walsall,GK ,25,1106,64.0,63.0,62.0,62.0,65.0,64,69,425000.0,2000.0
R. Sattelmaier,Germany,Bradford City,GK ,29,1084,66.0,59.0,63.0,64.0,65.0,64,65,350000.0,3000.0
G. Gallon,France,US Orléans Loiret Football,GK ,24,1054,64.0,62.0,58.0,64.0,69.0,64,71,475000.0,1000.0
W. Pawłowski,Poland,Górnik Zabrze,GK ,24,932,64.0,62.0,51.0,63.0,64.0,64,68,425000.0,1000.0
Q. Westberg,United States,AJ Auxerre,GK ,31,1034,64.0,62.0,61.0,61.0,64.0,64,64,270000.0,2000.0
A. Jovanović,Serbia,Aarhus GF,GK ,24,868,66.0,62.0,63.0,64.0,65.0,64,69,425000.0,3000.0
Tomeu Nadal,Spain,Albacete Balompié,GK ,28,967,60.0,66.0,63.0,65.0,63.0,64,65,375000.0,2000.0
P. Tsintotas,Greece,AEK Athens,GK ,19,961,64.0,62.0,60.0,59.0,67.0,64,72,475000.0,1000.0
N. Hengelman,Netherlands,FC Twente,GK ,27,978,60.0,61.0,69.0,66.0,66.0,64,66,375000.0,3000.0
Caio,Brazil,CD Feirense,GK ,26,1156,58.0,62.0,65.0,67.0,65.0,64,66,375000.0,2000.0
R. Zentner,Germany,1. FSV Mainz 05,GK ,22,1118,65.0,62.0,60.0,61.0,67.0,64,74,550000.0,5000.0
U. Çakır,Turkey,Trabzonspor,GK ,21,1158,64.0,62.0,64.0,60.0,67.0,64,71,475000.0,4000.0
S. Čupić,Serbia,Sarpsborg 08 FF,GK ,23,893,64.0,63.0,64.0,62.0,64.0,64,70,450000.0,1000.0
L. Price,Wales,Rotherham United,GK ,32,1126,64.0,64.0,59.0,63.0,63.0,64,64,260000.0,3000.0
L. Crosta,Italy,Cagliari,GK ,19,922,63.0,63.0,64.0,63.0,65.0,64,79,800000.0,4000.0
Nelson Freitosa,Brazil,Associação Chapecoense de Futebol,GK ,33,1034,59.0,47.0,66.0,72.0,74.0,64,64,230000.0,4000.0
L. Zima,Czech Republic,Genoa,GK ,23,1083,68.0,59.0,63.0,61.0,64.0,64,71,475000.0,5000.0
A. Jakubech,Slovakia,LOSC Lille,GK ,20,951,63.0,62.0,64.0,61.0,66.0,64,75,600000.0,6000.0
M. Vigorito,Italy,Frosinone,GK ,27,1033,63.0,60.0,55.0,60.0,72.0,64,64,300000.0,1000.0
K. Kamiński,Poland,Júbilo Iwata,GK ,26,1043,64.0,63.0,66.0,66.0,62.0,64,68,400000.0,2000.0
A. Lie,Norway,Aalesunds FK,GK ,29,1123,66.0,63.0,61.0,57.0,70.0,64,64,300000.0,1000.0
K. Debaty,Belgium,Royal Antwerp FC,GK ,28,1164,67.0,62.0,56.0,61.0,66.0,64,66,375000.0,3000.0
O. Linnér,Sweden,AIK Solna,GK ,20,996,68.0,58.0,53.0,65.0,66.0,64,74,575000.0,2000.0
P. Jones,England,Norwich City,GK ,31,1043,69.0,60.0,61.0,61.0,67.0,64,64,270000.0,7000.0
D. van Crooij,Netherlands,VVV-Venlo,GK ,26,882,66.0,65.0,60.0,65.0,63.0,64,66,375000.0,3000.0
G. Vailati,Switzerland,FC Basel,GK ,36,996,63.0,66.0,58.0,66.0,61.0,64,64,60000.0,5000.0
Kang Hyeon Mu,Korea Republic,Pohang Steelers,GK ,22,1097,65.0,68.0,62.0,66.0,71.0,64,74,550000.0,2000.0
Leonardo,Brazil,Portimonense SC,GK ,24,1058,62.0,62.0,62.0,62.0,68.0,64,70,450000.0,2000.0
B. Magaña,United States,U.N.A.M.,GK ,23,1110,62.0,66.0,58.0,63.0,61.0,64,71,475000.0,4000.0
V. Vasic,Serbia,Grasshopper Club Zürich,GK ,27,1108,68.0,51.0,67.0,66.0,68.0,64,66,375000.0,4000.0
A. Cairns,England,Fleetwood Town,GK ,24,971,62.0,60.0,57.0,63.0,65.0,64,69,425000.0,2000.0
G. Sandomierski,Poland,Cracovia,GK ,27,1217,58.0,63.0,67.0,63.0,67.0,64,66,375000.0,2000.0
Y. Urbina,Mexico,Monarcas Morelia,GK ,34,1119,65.0,59.0,62.0,64.0,66.0,64,64,180000.0,12000.0
M. Ingram,England,Northampton Town,GK ,23,988,68.0,62.0,60.0,64.0,66.0,64,72,500000.0,5000.0
B. Stuver,United States,Columbus Crew SC,GK ,26,1066,67.0,64.0,62.0,62.0,64.0,64,68,400000.0,2000.0
Y. Aygün,Turkey,Göztepe,GK ,21,972,65.0,64.0,59.0,63.0,65.0,64,69,450000.0,3000.0
B. Alnwick,England,Bolton Wanderers,GK ,30,995,62.0,60.0,58.0,62.0,71.0,64,64,290000.0,7000.0
A. Jaakkola,Finland,Reading,GK ,30,1162,67.0,60.0,64.0,63.0,65.0,64,64,290000.0,7000.0
J. Bond,England,Peterborough United,GK ,24,1142,65.0,61.0,61.0,62.0,64.0,64,69,425000.0,6000.0
Ricardo Fernandes,Portugal,CF Os Belenenses,GK ,22,866,61.0,61.0,63.0,64.0,65.0,64,67,400000.0,2000.0
M. Levashov,Russia,Arsenal Tula,GK ,25,863,63.0,61.0,57.0,61.0,67.0,64,68,425000.0,5000.0
D. Albil,Argentina,Independiente,GK ,37,1011,63.0,61.0,66.0,71.0,62.0,64,64,30000.0,3000.0
J. Young,England,Brisbane Roar,GK ,31,1143,65.0,59.0,60.0,63.0,65.0,64,64,270000.0,2000.0
Ricardo Moura,Portugal,Tondela,GK ,28,899,68.0,66.0,63.0,63.0,61.0,64,64,325000.0,2000.0
B. Roche,Republic of Ireland,Morecambe,GK ,35,1028,64.0,65.0,62.0,69.0,63.0,64,64,110000.0,2000.0
R. Sánchez,Mexico,Chicago Fire Soccer Club,GK ,23,1056,72.0,62.0,62.0,57.0,68.0,64,73,525000.0,2000.0
G. Woods,England,Hamilton Academical FC,GK ,27,1132,67.0,63.0,60.0,58.0,68.0,64,68,400000.0,2000.0
A. Smith,England,Bristol Rovers,GK ,24,949,63.0,61.0,64.0,63.0,69.0,64,71,475000.0,2000.0
L. Daniels,England,Brentford,GK ,29,1116,67.0,59.0,59.0,62.0,68.0,64,64,300000.0,9000.0
N. Jackers,Belgium,KRC Genk,GK ,19,1053,65.0,64.0,59.0,60.0,65.0,64,75,575000.0,2000.0
R. Koczor,Germany,FC Carl Zeiss Jena,GK ,28,1285,62.0,58.0,60.0,68.0,67.0,64,65,375000.0,1000.0
A. Fulignati,Italy,Cesena,GK ,22,1127,63.0,63.0,61.0,65.0,64.0,64,71,475000.0,1000.0
Alfonso Herrero,Spain,Real Oviedo,GK ,23,1076,59.0,60.0,63.0,64.0,68.0,64,74,550000.0,2000.0
K. Kawata,Japan,Ventforet Kofu,GK ,29,1065,59.0,64.0,59.0,63.0,66.0,64,64,300000.0,1000.0
M. Gostomski,Poland,Korona Kielce,GK ,28,1088,64.0,60.0,55.0,64.0,68.0,64,65,375000.0,2000.0
J. Houwen,Netherlands,Vitesse,GK ,21,1040,67.0,62.0,61.0,60.0,69.0,64,73,525000.0,2000.0
D. Trela,Poland,Termalica Bruk-Bet Nieciecza,GK ,27,1063,64.0,61.0,59.0,62.0,67.0,64,64,300000.0,2000.0
O. Söderberg,Sweden,Kalmar FF,GK ,26,980,61.0,66.0,66.0,65.0,64.0,64,66,375000.0,1000.0
T. Berni,Italy,Inter,GK ,34,941,64.0,60.0,59.0,64.0,66.0,64,64,180000.0,11000.0
F. Torgnascioli,Uruguay,Lorca Deportiva CF,GK ,26,905,64.0,61.0,63.0,60.0,71.0,64,68,400000.0,2000.0
O. Schnitzler,Germany,Hallescher FC,GK ,21,1010,61.0,61.0,64.0,63.0,66.0,64,73,525000.0,1000.0
I. Pettersson,Sweden,Halmstads BK,GK ,20,916,68.0,60.0,78.0,55.0,66.0,64,74,575000.0,1000.0
Luís Ribeiro,Portugal,Estoril Praia,GK ,25,1085,67.0,63.0,55.0,58.0,66.0,64,68,425000.0,2000.0
J. Wildsmith,England,Sheffield Wednesday,GK ,21,1109,65.0,66.0,66.0,65.0,63.0,64,78,825000.0,8000.0
J. Haugaard,Denmark,Stoke City,GK ,25,1016,64.0,65.0,57.0,61.0,64.0,64,70,450000.0,11000.0
N. Kato,Japan,Omiya Ardija,GK ,32,935,59.0,59.0,62.0,64.0,69.0,64,64,260000.0,1000.0
E. Johansen,Norway,New York City Football Club,GK ,24,1038,60.0,63.0,65.0,61.0,69.0,64,70,450000.0,2000.0
W. Abdullah,Saudi Arabia,Al Nassr,GK ,31,1050,63.0,61.0,69.0,61.0,66.0,64,64,270000.0,8000.0
Iván Villar,Spain,RC Celta de Vigo,GK ,19,1018,69.0,60.0,63.0,59.0,68.0,64,75,575000.0,2000.0
T. Carson,Northern Ireland,Motherwell,GK ,29,1105,64.0,60.0,66.0,61.0,68.0,64,64,300000.0,2000.0
R. Rúnarsson,Iceland,FC Nordsjælland,GK ,22,1082,66.0,66.0,67.0,62.0,65.0,64,74,550000.0,3000.0
A. Noppert,Netherlands,NAC Breda,GK ,23,1158,61.0,65.0,62.0,65.0,61.0,64,69,425000.0,2000.0
K. Pilarz,Poland,Arka Gdynia,GK ,36,1099,63.0,61.0,60.0,64.0,67.0,64,64,60000.0,1000.0
S. Paul,India,,GK ,30,1066,59.0,58.0,62.0,71.0,63.0,64,64,0.0,0.0
Z. Alomerović,Serbia,Korona Kielce,GK ,26,1029,64.0,60.0,64.0,62.0,68.0,64,67,400000.0,2000.0
J. Bava,Uruguay,Chicago Fire Soccer Club,GK ,35,1099,64.0,64.0,63.0,62.0,68.0,64,64,110000.0,1000.0
R. Quiñonez,Bolivia,,GK ,25,1099,66.0,63.0,66.0,62.0,66.0,64,67,0.0,0.0
G. Moss,New Zealand,Newcastle Jets,GK ,34,1054,63.0,62.0,62.0,62.0,65.0,64,64,180000.0,1000.0
J. Kean,England,Sheffield Wednesday,GK ,26,1032,64.0,60.0,55.0,64.0,62.0,64,67,400000.0,11000.0
T. Duffner,Germany,Werder Bremen II,GK ,33,1079,64.0,58.0,56.0,65.0,66.0,64,64,230000.0,1000.0
Adrián López,Spain,RCD Espanyol,GK ,18,934,60.0,61.0,63.0,67.0,69.0,64,76,575000.0,2000.0
A. Kristiansen,Norway,Sarpsborg 08 FF,GK ,27,1037,64.0,61.0,61.0,64.0,66.0,64,66,375000.0,1000.0
D. Rusov,Slovakia,Piast Gliwice,GK ,24,1173,59.0,65.0,65.0,66.0,64.0,64,66,400000.0,2000.0
T. Zwarthoed,Netherlands,Excelsior,GK ,34,1016,70.0,67.0,68.0,63.0,52.0,64,64,180000.0,3000.0
E. Baburin,Russia,Zenit St. Petersburg,GK ,23,1056,64.0,60.0,62.0,63.0,67.0,64,72,500000.0,9000.0
Landeta,Spain,Deportivo Alavés,GK ,21,938,64.0,68.0,61.0,60.0,67.0,64,74,575000.0,4000.0
S. Walker,England,Colchester United,GK ,25,1053,69.0,60.0,59.0,66.0,63.0,64,69,425000.0,4000.0
I. Lawlor,Republic of Ireland,Doncaster Rovers,GK ,22,1164,65.0,64.0,62.0,62.0,66.0,64,72,500000.0,2000.0
J. Hamilton,Scotland,Heart of Midlothian,GK ,23,1081,66.0,60.0,55.0,65.0,68.0,64,72,500000.0,2000.0
L. Sánchez,Mexico,Alianza Petrolera,GK ,27,952,67.0,58.0,53.0,66.0,66.0,64,65,350000.0,1000.0
L. McGee,England,Portsmouth,GK ,21,1010,67.0,62.0,59.0,60.0,66.0,64,74,575000.0,2000.0
S. Minelli,Italy,Brescia,GK ,23,1067,64.0,60.0,55.0,62.0,67.0,64,69,425000.0,1000.0
E. Oelschlägel,Germany,Werder Bremen II,GK ,21,998,65.0,57.0,57.0,59.0,66.0,63,72,425000.0,1000.0
K. Jałocha,Poland,Legia Warszawa,GK ,26,1110,63.0,57.0,68.0,72.0,61.0,63,67,325000.0,2000.0
A. Engaña,Chile,Club de Deportes Temuco,GK ,33,1370,68.0,43.0,64.0,64.0,72.0,63,63,190000.0,1000.0
B. de Jong,Netherlands,RSC Anderlecht,GK ,23,1170,62.0,58.0,63.0,60.0,65.0,63,68,350000.0,3000.0
A. Desmas,France,Chamois Niortais FC,GK ,23,948,64.0,64.0,60.0,62.0,65.0,63,69,375000.0,1000.0
M. Sourzac,France,Nîmes Olympique,GK ,25,1130,63.0,62.0,57.0,60.0,65.0,63,66,325000.0,1000.0
M. Dyngeland,Norway,Sogndal,GK ,21,1066,65.0,62.0,57.0,60.0,64.0,63,72,425000.0,1000.0
I. Arboleda,Colombia,Banfield,GK ,21,1129,73.0,58.0,68.0,56.0,69.0,63,73,450000.0,2000.0
R. Melgrati,Italy,Cesena,GK ,23,1062,63.0,60.0,61.0,62.0,63.0,63,71,400000.0,1000.0
A. Santurro,Italy,Bologna,GK ,25,1098,67.0,64.0,67.0,61.0,63.0,63,66,325000.0,6000.0
A. Brunst,Germany,1. FC Magdeburg,GK ,21,1017,64.0,61.0,60.0,59.0,64.0,63,73,450000.0,1000.0
Alminho Boas,Brazil,Vitória ,GK ,25,885,56.0,72.0,62.0,63.0,63.0,63,63,260000.0,2000.0
Pedro,Spain,Real Betis Balompié,GK ,22,1127,59.0,64.0,54.0,67.0,62.0,63,75,525000.0,3000.0
D. Vaca,Bolivia,,GK ,39,1044,65.0,59.0,64.0,63.0,64.0,63,63,0.0,0.0
T. Mikkelsen,Denmark,Odense Boldklub,GK ,33,1105,61.0,63.0,65.0,63.0,65.0,63,63,190000.0,2000.0
A. Sala,Italy,Ternana,GK ,23,1088,64.0,62.0,58.0,59.0,68.0,63,68,350000.0,1000.0
S. Marinovic,New Zealand,Vancouver Whitecaps FC,GK ,25,1106,63.0,64.0,55.0,60.0,61.0,63,68,350000.0,1000.0
R. Descamps,France,Paris Saint-Germain,GK ,21,841,64.0,61.0,59.0,65.0,60.0,63,71,400000.0,6000.0
T. Lee,England,Chesterfield,GK ,31,1122,59.0,59.0,57.0,64.0,66.0,63,63,220000.0,2000.0
U. Yuvakuran,Turkey,Beşiktaş JK,GK ,19,940,64.0,60.0,59.0,60.0,64.0,63,79,650000.0,3000.0
J. Aylagas,Argentina,Colon de Santa Fe,GK ,21,1008,63.0,64.0,62.0,60.0,65.0,63,71,400000.0,1000.0
B. Garratt,England,Crewe Alexandra,GK ,23,1070,67.0,57.0,56.0,62.0,68.0,63,72,425000.0,2000.0
J. Kempin,United States,LA Galaxy,GK ,24,1086,64.0,63.0,64.0,60.0,63.0,63,68,350000.0,1000.0
M. Şengezer,Turkey,Bursaspor,GK ,20,927,63.0,60.0,57.0,61.0,66.0,63,74,500000.0,2000.0
T. Boss,Germany,SC Fortuna Köln,GK ,24,1075,68.0,63.0,51.0,56.0,69.0,63,70,375000.0,1000.0
D. Zibung,Switzerland,FC Luzern,GK ,33,1078,65.0,60.0,53.0,62.0,65.0,63,63,190000.0,2000.0
A. Türkaslan,Turkey,Osmanlıspor,GK ,22,866,64.0,62.0,64.0,55.0,68.0,63,70,375000.0,2000.0
L. Reddy,Australia,Perth Glory,GK ,35,1029,63.0,59.0,58.0,63.0,63.0,63,63,90000.0,1000.0
T. Erlandsson,Sweden,AFC Eskilstuna,GK ,20,1024,61.0,63.0,72.0,60.0,59.0,63,75,525000.0,3000.0
C. Neal,England,Fleetwood Town,GK ,31,1197,61.0,62.0,60.0,62.0,62.0,63,63,220000.0,2000.0
D. Carvajal,Costa Rica,Albacete Balompié,GK ,28,895,64.0,61.0,62.0,63.0,60.0,63,63,260000.0,2000.0
Jang Dae Hee,Korea Republic,Ulsan Hyundai Horang-i,GK ,23,1042,63.0,61.0,57.0,61.0,63.0,63,73,450000.0,1000.0
Yang Han Been,Korea Republic,FC Seoul,GK ,25,1073,68.0,62.0,61.0,62.0,62.0,63,66,325000.0,1000.0
M. McNulty,Republic of Ireland,Cork City,GK ,36,1030,68.0,60.0,54.0,62.0,61.0,63,63,50000.0,1000.0
L. Corti,Argentina,San Martín de San Juan,GK ,36,860,61.0,58.0,56.0,74.0,63.0,63,63,50000.0,1000.0
Cantero,Spain,Villarreal CF,GK ,22,1198,53.0,69.0,59.0,68.0,64.0,63,72,425000.0,3000.0
J. Shea,England,Luton Town,GK ,26,919,64.0,61.0,57.0,58.0,67.0,63,68,350000.0,3000.0
M. Dúbravka,Slovakia,Sparta Praha,GK ,28,1094,59.0,64.0,53.0,65.0,67.0,63,63,260000.0,1000.0
F. Ruberto,Switzerland,FC Thun,GK ,24,1013,63.0,65.0,59.0,60.0,64.0,63,69,375000.0,2000.0
A. Muric,Switzerland,Manchester City,GK ,18,1066,63.0,61.0,60.0,62.0,65.0,63,81,625000.0,5000.0
A. Al Mazaidi,Saudi Arabia,Al Fateh,GK ,31,1005,59.0,68.0,66.0,63.0,59.0,63,63,220000.0,4000.0
O. Fredrikson,Finland,Tromsø IL,GK ,35,1105,63.0,61.0,62.0,65.0,62.0,63,63,90000.0,1000.0
M. Centeno,Mexico,Deportivo Toluca,GK ,27,1019,66.0,62.0,58.0,62.0,66.0,63,65,300000.0,3000.0
Jung San,Korea Republic,Incheon United FC,GK ,28,1045,62.0,61.0,58.0,62.0,65.0,63,63,260000.0,1000.0
M. Ratajczak,Germany,SC Paderborn 07,GK ,35,1031,62.0,64.0,35.0,64.0,64.0,63,63,90000.0,1000.0
M. Caillard,France,En Avant de Guingamp,GK ,23,994,63.0,59.0,57.0,58.0,65.0,63,69,375000.0,3000.0
C. Pym,England,Exeter City,GK ,22,1094,64.0,59.0,65.0,58.0,69.0,63,74,500000.0,2000.0
D. Bouzanis,Australia,Melbourne City,GK ,26,1143,63.0,62.0,60.0,62.0,62.0,63,64,300000.0,2000.0
Thierry Graça,Cape Verde,Estoril Praia,GK ,22,897,64.0,60.0,54.0,64.0,61.0,63,72,425000.0,1000.0
L. García,Colombia,Rayo Vallecano,GK ,19,1207,66.0,62.0,59.0,64.0,63.0,63,72,425000.0,1000.0
S. Slocombe,England,Bristol Rovers,GK ,29,1082,65.0,57.0,58.0,62.0,66.0,63,63,250000.0,2000.0
M. Svilar,Belgium,SL Benfica,GK ,17,1184,63.0,58.0,63.0,61.0,64.0,63,83,600000.0,1000.0
S. Rasmussen,Denmark,Aarhus GF,GK ,34,1075,61.0,63.0,55.0,65.0,64.0,63,63,150000.0,2000.0
Carlos Travisso,Brazil,Atlético Clube Goianiense,GK ,33,1145,68.0,43.0,64.0,64.0,72.0,63,63,190000.0,2000.0
S. Callamand,France,Bourg en Bresse Péronnas 01,GK ,32,1133,64.0,59.0,61.0,61.0,66.0,63,63,210000.0,1000.0
Q. Braat,France,FC Nantes,GK ,19,851,68.0,63.0,61.0,59.0,66.0,63,77,650000.0,1000.0
A. Mosquera,Colombia,Deportivo Pasto,GK ,25,1055,67.0,56.0,58.0,62.0,65.0,63,67,350000.0,1000.0
L. Martínez,Colombia,CD America de Cali,GK ,34,1080,59.0,64.0,58.0,64.0,59.0,63,63,150000.0,1000.0
M. Tyler,England,Peterborough United,GK ,40,1051,67.0,56.0,56.0,65.0,61.0,63,63,20000.0,1000.0
A. Berardi,Italy,Bari,GK ,26,1121,62.0,60.0,56.0,64.0,66.0,63,65,300000.0,1000.0
D. Russo,Italy,F.B.C. Unione Venezia,GK ,29,1035,59.0,61.0,62.0,62.0,64.0,63,63,250000.0,1000.0
C. Dobnik,Austria,Wolfsberger AC,GK ,30,1018,66.0,59.0,63.0,65.0,63.0,63,63,240000.0,2000.0
R. Martínez,Argentina,Godoy Cruz,GK ,26,915,61.0,62.0,60.0,63.0,66.0,63,67,325000.0,2000.0
I. Pomazun,Russia,CSKA Moscow,GK ,20,1009,62.0,64.0,68.0,60.0,66.0,63,71,400000.0,4000.0
Nuno Macedo,Portugal,Moreirense FC,GK ,18,910,59.0,66.0,63.0,69.0,57.0,63,72,375000.0,1000.0
D. Sappa,Argentina,Estudiantes de La Plata,GK ,22,975,52.0,63.0,68.0,71.0,56.0,63,72,425000.0,2000.0
E. Guarna,Italy,Foggia,GK ,31,1073,62.0,62.0,50.0,58.0,66.0,63,63,220000.0,1000.0
J. Devecchi,Argentina,San Lorenzo de Almagro,GK ,21,1074,64.0,60.0,57.0,62.0,65.0,63,73,450000.0,2000.0
P. Köhn,Switzerland,RB Leipzig,GK ,19,903,64.0,63.0,60.0,66.0,63.0,63,81,650000.0,3000.0
F. Al Masrahi,Saudi Arabia,Al Qadisiyah,GK ,24,1064,63.0,60.0,58.0,64.0,63.0,63,69,375000.0,2000.0
R. te Loeke,Netherlands,Plymouth Argyle,GK ,28,1052,66.0,64.0,64.0,60.0,63.0,63,65,300000.0,2000.0
Yang Hyung Mo,Korea Republic,Suwon Samsung Bluewings,GK ,25,1087,65.0,59.0,61.0,61.0,69.0,63,64,300000.0,1000.0
L. Mocio,France,Olympique Lyonnais,GK ,23,1072,61.0,62.0,64.0,61.0,65.0,63,69,375000.0,6000.0
E. Özbir,Turkey,Evkur Yeni Malatyaspor,GK ,27,1007,64.0,61.0,64.0,62.0,64.0,63,65,300000.0,2000.0
R. Spiegel,Switzerland,Boavista FC,GK ,24,1176,61.0,62.0,61.0,63.0,64.0,63,69,375000.0,1000.0
E. Redoga,Chile,San Luis de Quillota,GK ,25,932,56.0,72.0,62.0,63.0,63.0,63,63,260000.0,1000.0
M. Miśkiewicz,Poland,CD Feirense,GK ,28,1071,61.0,64.0,48.0,69.0,63.0,63,64,300000.0,2000.0
Filipe Mendes,Portugal,CF Os Belenenses,GK ,32,1021,64.0,61.0,59.0,62.0,63.0,63,63,210000.0,1000.0
Y. Nesterenko,Russia,Rubin Kazan,GK ,26,1045,62.0,59.0,57.0,62.0,69.0,63,67,325000.0,6000.0
F. Ben Mustapha,Tunisia,Al Shabab,GK ,28,1061,63.0,67.0,59.0,68.0,54.0,63,63,260000.0,5000.0
J. Jones,England,Wigan Athletic,GK ,28,1041,64.0,62.0,63.0,66.0,63.0,63,63,260000.0,2000.0
J. Castillo,Mexico,U.N.A.M.,GK ,22,938,63.0,62.0,65.0,60.0,63.0,63,69,375000.0,3000.0
S. Müller,Germany,1. FC Köln,GK ,21,858,63.0,66.0,54.0,62.0,67.0,63,71,400000.0,3000.0
A. Nigmatullin,Russia,Amkar Perm,GK ,26,1061,64.0,59.0,60.0,67.0,61.0,63,67,325000.0,3000.0
M. Schlingermann,Republic of Ireland,Sligo Rovers,GK ,26,1100,65.0,60.0,61.0,61.0,64.0,63,67,325000.0,1000.0
N. Bertrams,Netherlands,NAC Breda,GK ,24,1133,65.0,66.0,57.0,59.0,60.0,63,68,350000.0,1000.0
E. Gertmonas,Lithuania,Stade Rennais FC,GK ,21,1100,67.0,57.0,56.0,57.0,71.0,63,76,575000.0,2000.0
N. Soysal,France,Gençlerbirliği SK,GK ,19,916,65.0,65.0,64.0,63.0,65.0,63,80,650000.0,1000.0
F. Al Subaiei,Saudi Arabia,Al Taawoun,GK ,34,1085,62.0,63.0,68.0,60.0,63.0,63,63,150000.0,3000.0
J. Butez,France,Royal Excel Mouscron,GK ,22,1062,63.0,59.0,70.0,64.0,62.0,63,72,425000.0,4000.0
P. Klewin,Germany,Rot-Weiß Erfurt,GK ,23,1034,58.0,62.0,55.0,64.0,64.0,63,69,375000.0,1000.0
Jaume Valens,Spain,Lorca Deportiva CF,GK ,21,1082,61.0,64.0,61.0,59.0,62.0,63,70,375000.0,1000.0
L. Souchaud,France,La Berrichonne de Châteauroux,GK ,21,1315,62.0,61.0,61.0,63.0,64.0,63,75,525000.0,1000.0
G. Kongshavn,Norway,Tromsø IL,GK ,26,906,64.0,62.0,59.0,63.0,64.0,63,64,300000.0,1000.0
J. Omlin,Switzerland,FC Luzern,GK ,23,1145,68.0,57.0,64.0,61.0,64.0,63,72,425000.0,2000.0
M. Tørnes,Denmark,Vitesse,GK ,31,1171,61.0,62.0,59.0,62.0,62.0,63,63,220000.0,2000.0
E. Ersu,Turkey,Fenerbahçe SK,GK ,23,1030,63.0,61.0,60.0,63.0,66.0,63,71,400000.0,7000.0
T. Worra,United States,D.C. United,GK ,24,1064,65.0,59.0,68.0,65.0,66.0,63,66,325000.0,1000.0
T. Vollnhofer,Austria,SKN St. Pölten,GK ,32,1098,67.0,64.0,59.0,66.0,58.0,63,63,210000.0,3000.0
D. Henderson,England,Shrewsbury,GK ,20,1050,65.0,60.0,61.0,58.0,67.0,63,79,675000.0,9000.0
