Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Overall,Potential,Wage,Value
A. MacDonald,Scotland,Mansfield Town,LM RM ,27,1784,69.0,80.0,73.0,89.0,65.0,55.0,57.0,56.0,63.0,60.0,54.0,54.0,40.0,78.0,55.0,56.0,31.0,60.0,61.0,59.0,58.0,66.0,50.0,74.0,83.0,52.0,75.0,60.0,55.0,64,64,6000.0,475000.0
O. Abdulaziz,Saudi Arabia,Al Faisaly,CM CDM ,33,1657,67.0,66.0,75.0,65.0,59.0,50.0,46.0,50.0,46.0,32.0,48.0,67.0,62.0,58.0,66.0,48.0,59.0,44.0,44.0,60.0,69.0,58.0,64.0,65.0,73.0,62.0,72.0,46.0,34.0,64,64,7000.0,180000.0
A. Kawaya,Belgium,KV Mechelen,RM LM ,20,1715,77.0,63.0,72.0,83.0,67.0,55.0,60.0,48.0,69.0,56.0,49.0,39.0,51.0,75.0,56.0,53.0,38.0,51.0,57.0,58.0,63.0,73.0,43.0,78.0,41.0,41.0,78.0,55.0,51.0,64,75,4000.0,775000.0
F. Ayaz,Sweden,Örebro SK,RM LM ,22,1573,77.0,49.0,83.0,78.0,66.0,65.0,57.0,63.0,70.0,58.0,50.0,34.0,23.0,50.0,52.0,58.0,27.0,48.0,62.0,56.0,59.0,54.0,37.0,73.0,56.0,35.0,46.0,60.0,51.0,64,71,2000.0,625000.0
A. Acosta,Mexico,U.N.A.M.,RM ,20,1651,72.0,42.0,60.0,73.0,65.0,58.0,66.0,57.0,64.0,58.0,45.0,54.0,31.0,66.0,59.0,43.0,40.0,53.0,60.0,56.0,64.0,66.0,56.0,68.0,62.0,53.0,57.0,60.0,46.0,64,76,5000.0,800000.0
Jhonnattann,Brazil,Al Batin,RM ST CAM ,27,1600,91.0,38.0,83.0,91.0,63.0,54.0,60.0,65.0,66.0,58.0,61.0,47.0,20.0,44.0,54.0,56.0,18.0,47.0,61.0,58.0,62.0,66.0,21.0,79.0,68.0,29.0,44.0,60.0,45.0,64,64,4000.0,475000.0
Deco,Spain,Málaga CF,CM ,21,1657,65.0,61.0,72.0,89.0,64.0,56.0,51.0,48.0,62.0,35.0,43.0,45.0,66.0,67.0,69.0,54.0,53.0,37.0,62.0,53.0,68.0,51.0,67.0,49.0,71.0,63.0,56.0,55.0,37.0,64,74,5000.0,725000.0
G. Di Renzo,Argentina,Club Atlético Patronato,RW LM RM ,21,1568,78.0,28.0,74.0,66.0,64.0,53.0,54.0,53.0,66.0,64.0,41.0,67.0,16.0,58.0,51.0,48.0,19.0,58.0,60.0,58.0,58.0,59.0,23.0,81.0,66.0,24.0,66.0,56.0,52.0,64,73,3000.0,700000.0
L. Maciel,Argentina,Club Atlético Lanús,CM CDM ,21,1656,73.0,66.0,69.0,78.0,62.0,55.0,50.0,40.0,59.0,36.0,40.0,55.0,65.0,71.0,61.0,46.0,61.0,41.0,35.0,62.0,66.0,58.0,67.0,68.0,60.0,66.0,56.0,58.0,34.0,64,72,4000.0,575000.0
J. Fehr,Germany,Hansa Rostock,RM LM ,22,1473,84.0,33.0,89.0,83.0,68.0,55.0,64.0,41.0,73.0,57.0,45.0,22.0,20.0,71.0,57.0,53.0,14.0,39.0,46.0,47.0,63.0,57.0,12.0,83.0,71.0,11.0,48.0,38.0,43.0,64,76,1000.0,800000.0
A. O'Neill,Australia,Fleetwood Town,CM ,18,1694,66.0,58.0,69.0,71.0,66.0,70.0,53.0,58.0,63.0,51.0,42.0,45.0,58.0,65.0,65.0,56.0,51.0,49.0,53.0,60.0,68.0,61.0,49.0,65.0,72.0,55.0,61.0,62.0,49.0,64,80,8000.0,925000.0
F. Soyalp,Turkey,Bursaspor,CDM CM ,22,1715,65.0,49.0,72.0,68.0,68.0,58.0,59.0,64.0,68.0,54.0,50.0,50.0,48.0,62.0,64.0,59.0,45.0,51.0,61.0,57.0,67.0,66.0,46.0,67.0,65.0,53.0,60.0,66.0,60.0,64,72,5000.0,650000.0
F. Fendrich,Sweden,Jönköpings Södra IF,CM CDM ,29,1638,56.0,81.0,59.0,79.0,62.0,59.0,58.0,32.0,58.0,30.0,38.0,52.0,65.0,68.0,60.0,41.0,53.0,38.0,56.0,63.0,61.0,61.0,55.0,59.0,78.0,53.0,79.0,64.0,35.0,64,64,1000.0,350000.0
E. Mjelde,Norway,Sandefjord Fotball,ST CM CAM ,33,1854,64.0,49.0,74.0,70.0,66.0,71.0,63.0,58.0,63.0,61.0,70.0,67.0,57.0,85.0,56.0,65.0,60.0,71.0,64.0,63.0,64.0,74.0,52.0,66.0,75.0,54.0,66.0,58.0,67.0,64,64,2000.0,270000.0
M. Mihara,Japan,Vissel Kobe,CDM RM CM ,28,1666,63.0,78.0,56.0,73.0,65.0,52.0,42.0,33.0,53.0,44.0,39.0,65.0,67.0,76.0,69.0,63.0,66.0,41.0,47.0,66.0,64.0,40.0,65.0,60.0,84.0,67.0,60.0,55.0,26.0,64,64,2000.0,450000.0
J. Kaprof,Argentina,Defensa y Justicia,ST RM CAM ,22,1604,73.0,63.0,70.0,82.0,63.0,57.0,37.0,49.0,69.0,64.0,40.0,59.0,21.0,61.0,54.0,63.0,24.0,68.0,65.0,59.0,61.0,61.0,15.0,70.0,59.0,23.0,73.0,56.0,48.0,64,72,5000.0,675000.0
S. Ugarković,Australia,Newcastle Jets,CM CDM ,22,1622,64.0,64.0,55.0,65.0,62.0,58.0,53.0,48.0,60.0,36.0,31.0,59.0,62.0,61.0,61.0,44.0,66.0,32.0,54.0,57.0,64.0,56.0,60.0,53.0,74.0,62.0,73.0,52.0,35.0,64,70,1000.0,525000.0
D. Kılıç,Turkey,Göztepe,CAM CDM CM ,21,1724,69.0,62.0,68.0,67.0,70.0,52.0,59.0,59.0,70.0,45.0,41.0,58.0,49.0,63.0,67.0,55.0,59.0,54.0,52.0,55.0,70.0,61.0,63.0,68.0,69.0,65.0,61.0,59.0,35.0,64,75,4000.0,775000.0
G. Reniero,Argentina,San Lorenzo de Almagro,CAM ST ,22,1560,64.0,41.0,59.0,58.0,59.0,51.0,53.0,61.0,62.0,67.0,51.0,61.0,23.0,68.0,49.0,65.0,17.0,59.0,56.0,60.0,59.0,65.0,18.0,67.0,68.0,17.0,74.0,49.0,52.0,64,74,6000.0,725000.0
D. Wiebe,Germany,SC Preußen Münster,CDM ,23,1553,52.0,61.0,65.0,58.0,62.0,60.0,40.0,30.0,53.0,30.0,40.0,61.0,67.0,57.0,58.0,50.0,61.0,43.0,36.0,63.0,60.0,56.0,57.0,57.0,76.0,63.0,70.0,51.0,39.0,64,67,1000.0,475000.0
F. Belli,Italy,Virtus Entella,CM RB ,23,1446,72.0,47.0,63.0,58.0,56.0,59.0,58.0,52.0,44.0,14.0,41.0,55.0,64.0,66.0,41.0,23.0,65.0,34.0,19.0,53.0,52.0,43.0,66.0,76.0,75.0,58.0,58.0,27.0,13.0,64,72,1000.0,575000.0
Y. Bavin,Russia,FC Ural,CDM ,23,1654,56.0,45.0,71.0,77.0,57.0,53.0,41.0,42.0,59.0,50.0,44.0,43.0,66.0,75.0,59.0,48.0,65.0,37.0,46.0,67.0,66.0,67.0,64.0,58.0,79.0,62.0,68.0,42.0,50.0,64,74,7000.0,625000.0
H. Artarslan,Turkey,Trabzonspor,CDM ,23,1633,51.0,66.0,46.0,51.0,60.0,49.0,43.0,46.0,52.0,50.0,42.0,63.0,66.0,61.0,58.0,43.0,57.0,59.0,44.0,64.0,65.0,59.0,57.0,64.0,69.0,68.0,77.0,42.0,45.0,64,67,7000.0,475000.0
S. Field,England,West Bromwich Albion,CDM CM ,19,1678,65.0,69.0,56.0,76.0,63.0,57.0,50.0,49.0,61.0,41.0,47.0,63.0,50.0,58.0,73.0,44.0,45.0,54.0,55.0,62.0,76.0,68.0,61.0,56.0,71.0,54.0,58.0,55.0,47.0,64,81,9000.0,950000.0
Pedrosa,Portugal,Vitória Setúbal,CM CDM ,20,1683,64.0,64.0,54.0,61.0,67.0,59.0,50.0,50.0,65.0,37.0,41.0,53.0,55.0,64.0,70.0,50.0,54.0,52.0,58.0,59.0,73.0,64.0,55.0,60.0,70.0,60.0,65.0,65.0,46.0,64,76,2000.0,725000.0
N. Rutjes,Netherlands,Roda JC Kerkrade,RM RB ,33,1705,49.0,85.0,67.0,65.0,65.0,69.0,59.0,51.0,63.0,45.0,40.0,59.0,63.0,56.0,59.0,53.0,62.0,54.0,63.0,65.0,64.0,62.0,68.0,40.0,73.0,68.0,57.0,58.0,48.0,64,64,3000.0,170000.0
L. Rolón,Argentina,Arsenal de Sarandí,RM ,22,1727,76.0,66.0,76.0,76.0,66.0,53.0,64.0,70.0,67.0,31.0,62.0,55.0,59.0,79.0,64.0,63.0,47.0,45.0,54.0,62.0,65.0,30.0,48.0,78.0,63.0,46.0,61.0,61.0,32.0,64,74,3000.0,725000.0
S. Abalo,Ghana,Rio Ave FC,CB CDM ,22,1595,61.0,66.0,62.0,67.0,56.0,63.0,53.0,36.0,54.0,27.0,42.0,52.0,64.0,85.0,61.0,31.0,62.0,47.0,42.0,58.0,64.0,42.0,69.0,66.0,75.0,66.0,69.0,41.0,27.0,64,71,2000.0,550000.0
M. Kuzmin,Russia,Dinamo Moscow,CDM CM ,21,1740,67.0,65.0,65.0,71.0,68.0,57.0,53.0,60.0,65.0,58.0,62.0,54.0,58.0,56.0,66.0,64.0,44.0,55.0,60.0,60.0,70.0,65.0,54.0,63.0,63.0,53.0,65.0,53.0,52.0,64,71,7000.0,625000.0
T. Abe,Japan,Ulsan Hyundai Horang-i,LM ST CAM ,29,1748,60.0,58.0,74.0,86.0,65.0,57.0,61.0,53.0,62.0,66.0,55.0,61.0,50.0,80.0,59.0,63.0,40.0,58.0,60.0,61.0,64.0,60.0,38.0,59.0,67.0,42.0,64.0,59.0,57.0,64,64,3000.0,450000.0
D. De Silva,Australia,Central Coast Mariners,CAM ,20,1572,74.0,36.0,76.0,79.0,65.0,62.0,47.0,59.0,70.0,59.0,45.0,27.0,30.0,62.0,59.0,65.0,32.0,50.0,55.0,48.0,63.0,52.0,20.0,66.0,70.0,36.0,55.0,64.0,59.0,64,77,1000.0,875000.0
Y. Kobayashi,Japan,Kashiwa Reysol,CM CDM ,22,1637,70.0,60.0,78.0,84.0,65.0,46.0,36.0,38.0,54.0,45.0,38.0,42.0,70.0,58.0,60.0,58.0,53.0,40.0,62.0,65.0,64.0,54.0,55.0,73.0,82.0,64.0,41.0,52.0,32.0,64,69,3000.0,500000.0
F. N'Goma,France,US Orléans Loiret Football,RW CM ST ,24,1647,74.0,43.0,69.0,73.0,65.0,59.0,60.0,52.0,69.0,62.0,61.0,43.0,24.0,63.0,58.0,58.0,18.0,63.0,72.0,58.0,67.0,64.0,28.0,77.0,61.0,37.0,51.0,62.0,69.0,64,69,2000.0,625000.0
M. Osei Kwadwo,Ghana,1. FC Kaiserslautern,RM LM ,22,1611,75.0,40.0,87.0,90.0,63.0,48.0,56.0,52.0,68.0,55.0,45.0,42.0,24.0,80.0,58.0,51.0,33.0,53.0,58.0,57.0,62.0,53.0,34.0,77.0,58.0,28.0,49.0,61.0,47.0,64,72,4000.0,675000.0
Gilson Costa,Portugal,Boavista FC,CDM ,20,1625,64.0,70.0,66.0,61.0,59.0,68.0,38.0,39.0,58.0,30.0,41.0,58.0,66.0,72.0,58.0,46.0,58.0,49.0,40.0,65.0,64.0,70.0,54.0,60.0,71.0,64.0,74.0,50.0,38.0,64,74,2000.0,650000.0
A. Schenetti,Italy,Cittadella,RM CM ,26,1674,81.0,27.0,73.0,84.0,65.0,63.0,63.0,54.0,64.0,59.0,58.0,42.0,45.0,50.0,67.0,64.0,13.0,55.0,64.0,57.0,68.0,65.0,39.0,76.0,70.0,43.0,56.0,62.0,60.0,64,66,1000.0,525000.0
J. Dall'Oglio,Italy,Brescia,CDM CM ,25,1684,73.0,59.0,57.0,66.0,68.0,63.0,61.0,40.0,62.0,38.0,35.0,58.0,59.0,58.0,64.0,64.0,58.0,47.0,59.0,61.0,68.0,65.0,58.0,70.0,63.0,58.0,65.0,57.0,46.0,64,67,2000.0,550000.0
M. Guzmán,Argentina,Club Atlético Patronato,CDM RM CM ,32,1748,61.0,68.0,69.0,72.0,65.0,70.0,62.0,56.0,64.0,53.0,35.0,54.0,62.0,68.0,58.0,59.0,56.0,45.0,58.0,64.0,63.0,60.0,62.0,69.0,77.0,69.0,66.0,60.0,35.0,64,64,3000.0,350000.0
F. Al Yamani,Saudi Arabia,Al Faisaly,CAM LM RM CDM ,27,1723,61.0,77.0,68.0,56.0,67.0,67.0,51.0,46.0,67.0,41.0,58.0,54.0,65.0,63.0,60.0,59.0,58.0,57.0,70.0,67.0,61.0,58.0,53.0,55.0,66.0,59.0,74.0,58.0,43.0,64,66,7000.0,450000.0
D. Parker,Germany,SKN St. Pölten,LM RM ,21,1704,81.0,63.0,78.0,79.0,64.0,42.0,59.0,57.0,70.0,50.0,43.0,53.0,35.0,72.0,53.0,61.0,38.0,56.0,58.0,60.0,62.0,65.0,36.0,79.0,58.0,41.0,52.0,55.0,62.0,64,76,6000.0,800000.0
M. Vojvoda,Kosovo,Royal Excel Mouscron,RM RB ,22,1726,69.0,67.0,67.0,67.0,62.0,55.0,69.0,62.0,67.0,35.0,58.0,55.0,62.0,65.0,64.0,49.0,59.0,35.0,52.0,63.0,62.0,62.0,62.0,69.0,65.0,61.0,67.0,56.0,47.0,64,70,3000.0,525000.0
D. Mitchell,England,Manchester United,LM LB ,20,1780,73.0,55.0,71.0,65.0,67.0,57.0,62.0,82.0,68.0,57.0,94.0,58.0,60.0,66.0,61.0,64.0,59.0,64.0,45.0,62.0,63.0,61.0,61.0,73.0,59.0,62.0,58.0,55.0,50.0,64,80,18000.0,900000.0
K. Zachariassen,Norway,Sarpsborg 08 FF,LM CM ,22,1821,78.0,59.0,73.0,63.0,63.0,59.0,59.0,57.0,65.0,57.0,51.0,57.0,58.0,73.0,62.0,59.0,56.0,59.0,62.0,58.0,64.0,69.0,62.0,76.0,78.0,63.0,65.0,61.0,57.0,64,72,1000.0,650000.0
H. Abe,Japan,Kashima Antlers,RM LM ST ,18,1536,90.0,33.0,75.0,85.0,68.0,48.0,35.0,41.0,81.0,62.0,32.0,60.0,17.0,63.0,40.0,51.0,21.0,58.0,60.0,53.0,54.0,62.0,15.0,88.0,39.0,24.0,40.0,55.0,64.0,64,81,3000.0,950000.0
A. Guido,United States,Club Tijuana,CM ,23,1668,66.0,40.0,65.0,64.0,65.0,61.0,54.0,52.0,65.0,58.0,46.0,52.0,57.0,54.0,65.0,53.0,42.0,59.0,61.0,63.0,67.0,62.0,55.0,58.0,63.0,51.0,60.0,65.0,50.0,64,71,5000.0,625000.0
L. Sierra,Colombia,Deportivo Pasto,CDM ,29,1520,54.0,66.0,61.0,70.0,56.0,50.0,42.0,36.0,47.0,28.0,34.0,55.0,58.0,63.0,58.0,25.0,66.0,41.0,30.0,55.0,67.0,40.0,58.0,64.0,75.0,64.0,77.0,59.0,28.0,64,64,1000.0,350000.0
J. Rivas,Argentina,Unión de Santa Fe,CM ,24,1649,73.0,41.0,69.0,68.0,64.0,57.0,48.0,61.0,64.0,49.0,59.0,40.0,54.0,52.0,67.0,57.0,42.0,39.0,59.0,55.0,68.0,56.0,46.0,68.0,66.0,53.0,59.0,68.0,47.0,64,69,4000.0,600000.0
B. Añor,Venezuela,Minnesota Thunder,LB LM ,29,1832,70.0,72.0,66.0,69.0,64.0,61.0,63.0,69.0,66.0,59.0,66.0,61.0,65.0,72.0,56.0,67.0,42.0,64.0,60.0,57.0,63.0,78.0,54.0,61.0,77.0,49.0,64.0,59.0,59.0,64,64,3000.0,450000.0
M. Noble,Argentina,Gimnasia y Esgrima La Plata,LM ,20,1583,63.0,49.0,78.0,65.0,69.0,37.0,78.0,42.0,65.0,41.0,33.0,45.0,50.0,61.0,67.0,35.0,49.0,40.0,53.0,55.0,57.0,41.0,55.0,65.0,77.0,52.0,57.0,54.0,30.0,64,75,4000.0,775000.0
C. McHugh,Republic of Ireland,Motherwell,CB CM ,24,1818,77.0,71.0,72.0,79.0,64.0,72.0,57.0,61.0,58.0,42.0,62.0,65.0,64.0,85.0,63.0,53.0,61.0,46.0,48.0,61.0,68.0,55.0,62.0,62.0,82.0,63.0,78.0,62.0,42.0,64,66,2000.0,550000.0
A. Lookman,England,Everton,ST LM ,19,1611,85.0,68.0,87.0,80.0,66.0,60.0,51.0,48.0,75.0,68.0,34.0,49.0,13.0,68.0,39.0,69.0,16.0,65.0,69.0,59.0,53.0,70.0,12.0,83.0,58.0,13.0,57.0,44.0,58.0,64,82,13000.0,975000.0
G. Fuengos,Chile,Audax Italiano,CM CAM ,29,1558,57.0,44.0,44.0,53.0,61.0,60.0,51.0,60.0,61.0,54.0,42.0,60.0,22.0,55.0,61.0,62.0,24.0,69.0,70.0,56.0,70.0,59.0,32.0,54.0,52.0,43.0,55.0,74.0,54.0,64,64,2000.0,450000.0
S. Auer,Austria,SK Rapid Wien,RB LB CDM ,26,1741,67.0,68.0,73.0,72.0,63.0,52.0,63.0,48.0,61.0,49.0,46.0,53.0,59.0,64.0,60.0,48.0,63.0,43.0,58.0,59.0,62.0,58.0,65.0,73.0,77.0,67.0,70.0,54.0,43.0,64,66,6000.0,450000.0
H. Barnes,England,Barnsley,CAM LM ,19,1617,74.0,47.0,71.0,67.0,62.0,58.0,60.0,59.0,66.0,64.0,52.0,41.0,43.0,44.0,58.0,58.0,41.0,49.0,52.0,50.0,65.0,61.0,44.0,74.0,70.0,47.0,50.0,58.0,50.0,64,80,9000.0,975000.0
A. Al Nazera,Saudi Arabia,Al Fateh,LM RM CAM ,24,1662,60.0,66.0,64.0,79.0,62.0,60.0,64.0,50.0,64.0,55.0,53.0,51.0,26.0,59.0,64.0,63.0,31.0,63.0,61.0,62.0,66.0,65.0,19.0,68.0,73.0,21.0,63.0,64.0,63.0,64,68,9000.0,600000.0
P. Michorl,Austria,LASK Linz,CM CDM ,22,1672,65.0,55.0,39.0,63.0,64.0,72.0,65.0,70.0,58.0,33.0,71.0,53.0,64.0,59.0,66.0,40.0,65.0,48.0,43.0,49.0,63.0,74.0,59.0,62.0,72.0,64.0,67.0,57.0,29.0,64,75,4000.0,675000.0
Bengoa,Spain,RC Deportivo de La Coruña,CM CAM ,22,1588,63.0,43.0,62.0,71.0,68.0,57.0,63.0,71.0,64.0,44.0,62.0,42.0,29.0,46.0,65.0,63.0,37.0,61.0,61.0,56.0,64.0,47.0,32.0,57.0,53.0,38.0,52.0,72.0,44.0,64,72,6000.0,675000.0
A. Wiss,Switzerland,FC St. Gallen,CM CDM CB ,26,1770,66.0,64.0,73.0,71.0,62.0,58.0,46.0,46.0,57.0,59.0,45.0,66.0,64.0,70.0,61.0,63.0,61.0,55.0,59.0,64.0,66.0,63.0,60.0,64.0,61.0,64.0,61.0,65.0,51.0,64,66,4000.0,450000.0
M. Ben Othman,Tunisia,US Orléans Loiret Football,LW LM ,27,1536,67.0,38.0,74.0,60.0,66.0,60.0,64.0,57.0,67.0,56.0,53.0,36.0,28.0,53.0,60.0,63.0,11.0,47.0,61.0,58.0,65.0,58.0,13.0,68.0,51.0,12.0,56.0,63.0,63.0,64,64,2000.0,475000.0
S. Kaneko,Japan,Shimizu S-Pulse,CAM CF ,22,1736,82.0,58.0,84.0,90.0,66.0,54.0,54.0,64.0,69.0,56.0,68.0,43.0,26.0,69.0,61.0,40.0,45.0,61.0,68.0,61.0,67.0,64.0,47.0,83.0,81.0,44.0,41.0,46.0,54.0,64,68,2000.0,600000.0
A. Koryan,Russia,Lokomotiv Moscow,RW CAM ,22,1624,84.0,72.0,94.0,90.0,68.0,60.0,61.0,60.0,71.0,64.0,48.0,44.0,17.0,52.0,51.0,62.0,15.0,62.0,54.0,54.0,60.0,65.0,21.0,70.0,76.0,19.0,34.0,54.0,52.0,64,72,9000.0,675000.0
C. Avevor,Germany,FC St. Pauli,CB CDM ,25,1591,61.0,70.0,57.0,58.0,59.0,50.0,55.0,29.0,48.0,32.0,35.0,62.0,63.0,80.0,59.0,41.0,62.0,31.0,35.0,63.0,62.0,58.0,66.0,69.0,55.0,65.0,84.0,54.0,33.0,64,66,5000.0,450000.0
J. Jones,England,Kilmarnock,CAM LM ,22,1521,84.0,38.0,77.0,84.0,65.0,60.0,63.0,45.0,68.0,52.0,43.0,34.0,29.0,43.0,52.0,37.0,35.0,51.0,46.0,53.0,61.0,55.0,39.0,85.0,64.0,36.0,32.0,55.0,44.0,64,72,2000.0,675000.0
G. Togni,Argentina,Independiente,RM LM ,19,1609,86.0,33.0,73.0,62.0,64.0,54.0,67.0,58.0,67.0,63.0,46.0,47.0,37.0,46.0,51.0,55.0,30.0,64.0,46.0,48.0,57.0,65.0,37.0,77.0,68.0,38.0,64.0,60.0,51.0,64,81,3000.0,975000.0
D. Smylie,Northern Ireland,Jönköpings Södra IF,CM CAM ,31,1809,51.0,81.0,61.0,63.0,65.0,59.0,60.0,59.0,62.0,58.0,55.0,64.0,54.0,63.0,69.0,69.0,55.0,59.0,63.0,63.0,62.0,73.0,54.0,53.0,82.0,51.0,76.0,66.0,61.0,64,64,1000.0,400000.0
J. Hesketh,England,Southampton,CAM ,21,1649,66.0,45.0,79.0,84.0,67.0,70.0,57.0,61.0,65.0,52.0,51.0,51.0,28.0,69.0,62.0,34.0,44.0,59.0,45.0,55.0,72.0,53.0,55.0,65.0,55.0,57.0,45.0,70.0,47.0,64,78,15000.0,1000000.0
F. Leutenecker,Germany,Chemnitzer FC,RB RM RWB ,27,1626,76.0,59.0,80.0,79.0,58.0,59.0,68.0,69.0,60.0,30.0,40.0,47.0,54.0,76.0,46.0,31.0,55.0,35.0,40.0,59.0,57.0,52.0,63.0,70.0,78.0,59.0,66.0,42.0,33.0,64,64,1000.0,375000.0
H. Isaza,Colombia,Club León,CAM ,21,1585,70.0,59.0,69.0,68.0,59.0,42.0,60.0,31.0,55.0,55.0,33.0,42.0,63.0,55.0,70.0,40.0,35.0,58.0,65.0,56.0,73.0,52.0,42.0,66.0,56.0,39.0,63.0,70.0,37.0,64,77,7000.0,875000.0
A. Stringel,Mexico,Alianza Petrolera,CDM CB RB ,29,1658,64.0,65.0,85.0,74.0,65.0,69.0,58.0,25.0,68.0,25.0,33.0,61.0,64.0,69.0,58.0,45.0,64.0,55.0,55.0,66.0,61.0,55.0,66.0,60.0,65.0,61.0,62.0,50.0,22.0,64,64,1000.0,350000.0
A. Pavecillo,Chile,Curicó Unido,CDM CB ,25,1414,44.0,65.0,45.0,65.0,37.0,57.0,49.0,15.0,20.0,18.0,43.0,52.0,65.0,65.0,43.0,47.0,70.0,47.0,23.0,59.0,54.0,52.0,75.0,42.0,68.0,68.0,64.0,26.0,23.0,64,64,1000.0,400000.0
D. Ferdiz,Chile,CD Palestino,CDM ,33,1486,52.0,32.0,50.0,44.0,58.0,56.0,52.0,43.0,25.0,23.0,42.0,47.0,73.0,56.0,54.0,35.0,73.0,44.0,43.0,64.0,56.0,38.0,76.0,59.0,60.0,72.0,71.0,53.0,33.0,64,64,2000.0,180000.0
L. O'Neill,England,Gillingham,RM RWB RB ,25,1690,76.0,58.0,68.0,63.0,61.0,44.0,66.0,45.0,67.0,46.0,58.0,62.0,57.0,76.0,60.0,46.0,60.0,33.0,40.0,47.0,64.0,57.0,58.0,73.0,72.0,61.0,71.0,50.0,43.0,64,67,3000.0,475000.0
W. Brown,England,Newcastle Jets,CAM CM ,28,1755,70.0,70.0,75.0,74.0,65.0,66.0,57.0,49.0,66.0,52.0,64.0,53.0,40.0,57.0,62.0,58.0,47.0,68.0,60.0,56.0,70.0,62.0,46.0,76.0,73.0,56.0,66.0,64.0,53.0,64,64,2000.0,450000.0
A. Muyl,United States,New York Red Bulls,LM RM ,21,1741,76.0,70.0,74.0,68.0,65.0,55.0,59.0,57.0,62.0,55.0,26.0,69.0,59.0,79.0,47.0,49.0,49.0,54.0,66.0,59.0,60.0,64.0,50.0,78.0,83.0,54.0,66.0,49.0,43.0,64,70,2000.0,625000.0
A. Danladi,Ghana,Minnesota Thunder,RM ST ,21,1670,82.0,67.0,80.0,65.0,60.0,57.0,41.0,56.0,65.0,63.0,41.0,50.0,35.0,71.0,43.0,55.0,39.0,59.0,60.0,61.0,74.0,68.0,36.0,79.0,75.0,38.0,61.0,49.0,54.0,64,71,2000.0,650000.0
B. Rother,Germany,1. FC Magdeburg,CDM ,20,1586,57.0,60.0,65.0,64.0,62.0,52.0,28.0,38.0,48.0,39.0,31.0,61.0,62.0,82.0,61.0,35.0,58.0,37.0,41.0,60.0,62.0,47.0,62.0,66.0,74.0,64.0,77.0,57.0,36.0,64,71,1000.0,550000.0
O. Çelik,Turkey,Kardemir Karabükspor,CDM ,25,1653,54.0,73.0,57.0,60.0,66.0,62.0,45.0,40.0,61.0,39.0,31.0,70.0,55.0,73.0,59.0,46.0,65.0,41.0,44.0,57.0,62.0,70.0,58.0,54.0,77.0,69.0,73.0,49.0,43.0,64,65,5000.0,450000.0
N. Siega,Italy,Cittadella,LM LW ,26,1565,83.0,41.0,74.0,72.0,66.0,57.0,57.0,51.0,71.0,63.0,34.0,58.0,37.0,51.0,41.0,47.0,19.0,52.0,61.0,50.0,58.0,57.0,31.0,74.0,64.0,40.0,50.0,51.0,56.0,64,64,1000.0,475000.0
M. Al Kuwaykibi,Saudi Arabia,Ettifaq FC,CAM LM RM ,22,1614,91.0,34.0,91.0,92.0,68.0,50.0,59.0,65.0,73.0,58.0,57.0,42.0,24.0,77.0,40.0,60.0,16.0,53.0,64.0,52.0,52.0,68.0,24.0,84.0,58.0,22.0,30.0,43.0,68.0,64,72,4000.0,675000.0
B. Magañez,Chile,CD Palestino,CAM ,29,1583,75.0,42.0,72.0,74.0,63.0,54.0,44.0,62.0,70.0,55.0,58.0,47.0,59.0,65.0,50.0,52.0,19.0,57.0,56.0,59.0,59.0,59.0,20.0,73.0,47.0,21.0,52.0,72.0,46.0,64,64,2000.0,450000.0
V. Nikiforov,Russia,FC SKA-Energiya Khabarovsk,LB LM ,28,1691,80.0,52.0,83.0,93.0,61.0,58.0,60.0,52.0,67.0,54.0,53.0,54.0,41.0,60.0,55.0,50.0,40.0,53.0,62.0,63.0,58.0,53.0,51.0,86.0,61.0,57.0,33.0,54.0,53.0,64,64,7000.0,450000.0
A. Diop,Senegal,Kristiansund BK,RM CM ,25,1724,72.0,48.0,57.0,57.0,66.0,61.0,59.0,62.0,62.0,61.0,56.0,48.0,53.0,47.0,61.0,62.0,47.0,56.0,62.0,59.0,65.0,64.0,49.0,77.0,60.0,58.0,71.0,67.0,59.0,64,69,2000.0,600000.0
Pablo Larrea,Spain,CD Numancia,CM ,23,1629,64.0,42.0,69.0,74.0,65.0,51.0,46.0,57.0,63.0,59.0,52.0,36.0,59.0,64.0,65.0,63.0,38.0,44.0,59.0,58.0,67.0,54.0,44.0,58.0,67.0,60.0,55.0,63.0,34.0,64,73,3000.0,675000.0
D. Gomis,France,GFC Ajaccio,RW CAM ,24,1576,72.0,43.0,56.0,68.0,65.0,59.0,61.0,52.0,71.0,65.0,46.0,45.0,23.0,58.0,59.0,61.0,34.0,53.0,61.0,56.0,61.0,51.0,46.0,70.0,51.0,47.0,54.0,59.0,41.0,64,69,2000.0,600000.0
